Country,max_cases,max_deaths,death_rate,X,Classification,Doc.Classification,Region,Population..mil.,case_rate
Finland,761110,2717,0.3569786233264574,Finland                                           ,Developed,Developed,Europe,5.6,13.591249999999999
Denmark,2950605,5175,0.17538775945950066,Denmark                                             ,Developed,Developed,Europe,5.9,50.01025423728813
Bulgaria,1112699,36098,3.244183737021423,Bulgaria                                              ,Developed,Developed,Europe,6.9,16.126072463768118
Switzerland,3058825,12766,0.41734979935105804,Switzerland,Developed,Developed,Europe,8.66,35.32130484988453
Austria,3183997,14568,0.4575381195396855,Austria                                           ,Developed,Developed,Western Pacific,8.9,35.77524719101124
Hungary,1814362,44653,2.4610854945154275,Hungary                                        ,Developed,Developed,Europe,9.7,18.70476288659794
Sweden,2466577,17798,0.7215667704677373,Sweden,Developed,Developed,Europe,10.1,24.421554455445545
Portugal,3413013,21342,0.6253125903710299,Portugal,Developed,Developed,Europe,10.2,33.460911764705884
Greece,2635614,26562,1.0078107036918151,Greece                                          ,Developed,Developed,Europe,10.6,24.864283018867926
Czechia,3685973,39155,1.062270396446203,Czechia                                           ,Developed,Developed,Europe,10.7,34.44834579439252
Belgium,3640052,30408,0.8353726814891654,Belgium                                             ,Developed,Developed,Europe,11.8,30.84789830508474
Netherlands,7168183,21707,0.3028243001050615,Netherlands,Developed,Developed,Europe,17.13,41.845785172212494
Romania,2791994,64361,2.3051983636067983,Romania,Developed,Developed,Europe,19.24,14.511403326403327
Australia,3193065,5586,0.17494163131661897,Australia                                             ,Developed,Developed,Western Pacific,25.8,12.376220930232556
Poland,5823982,113444,1.9478768993448126,Poland,Developed,Developed,Europe,37.85,15.387006605019815
Canada,3349647,37229,1.1114305477562263,Canada                                          ,Developed,Developed,Americas,37.9,8.838118733509235
Spain,11223977,101135,0.9010620745213572,Spain,Developed,Developed,Europe,46.75,24.00850695187166
Italy,13373207,156868,1.173002107871358,Italy                                          ,Developed,Developed,Europe,61.2,21.8516454248366
The United Kingdom,19530489,162738,0.8332510261263812,The United Kingdom ,Developed,Developed,Europe,67.89,28.76784357048166
France,22816866,136976,0.6003278452001253,France                                               ,Developed,Developed,Europe,68.1,33.50494273127754
Germany,17233729,125590,0.7287453574325092,Germany                                       ,Developed,Developed,Europe,84.4,20.41911018957346
Japan,5772396,26154,0.4530874181189233,Japan                                                  ,Developed,Developed,Western Pacific,124.7,4.629026463512429
United States of America,78777620,960144,1.2188030052189949,United States of America,Developed,Developed,Americas,331,23.799885196374625
Congo,24049,378,1.5717909268576655,Congo                                              ,Developing,Developing,Africa,5.4,0.44535185185185183
Singapore,939436,1145,0.12188163962207112,Singapore,Developing,Developing,Western Pacific,5.85,16.058735042735044
Kyrgyzstan,200742,2973,1.4810054697073856,Kyrgyzstan                                        ,Developing,Developing,Europe,6,3.3457
Eritrea,9721,103,1.0595617734800946,Eritrea                                      ,Developing,Developing,Africa,6.1,0.15936065573770491
El Salvador,156364,4095,2.6188892583970733,El Salvador                                       ,Developing,Developing,Americas,6.5,2.4056
Nicaragua,14108,226,1.6019279841224838,Nicaragua,Developing,Developing,Americas,6.6,0.21375757575757579
Libya,500000,6344,1.2688,Libya                                           ,Developing,Developing,Eastern Mediterranean,7,7.142857142857142
Paraguay,645768,18529,2.8692967133707463,Paraguay,Developing,Developing,Americas,7.13,9.057054698457224
Lao People's Democratic Republic,145507,640,0.4398413822015436,Lao People's Democratic Republic                      ,Developing,Developing,Western Pacific,7.6,1.9145657894736843
Sierra Leone,7667,125,1.63036389722186,Sierra Leone,Developing,Developing,Africa,7.98,0.09607769423558897
Togo,36860,272,0.7379272924579491,Togo,Developing,Developing,Africa,8.3,0.44409638554216857
Serbia,1940516,15587,0.8032399629789191,Serbia,Developing,In Transition,Europe,8.74,22.20270022883295
Israel,3720201,10379,0.278990301868098,Israel                                          ,Developing,Developing,Europe,8.8,42.27501136363636
